"Cleaned_value ( ""Value"" column of the OLIS observation is cleaned)",counts,Flag,name,Overall counts: 687707,% missingness over all in all columns) :  79%
y,1,unknown,,,
result test not performed,1,cancelled,,,
sample received with conflicting patient identifiers please repeat if clinically indicated,1,cancelled,,,
please add on to existing swab tested by multiplex rt pcr,1,unknown,,,
biofire multiplex pcr please tested by multiplex rt pcr,1,unknown,,,
please add on to prior specimen tested by multiplex rt pcr,1,unknown,,,
this sample type is not validated for use with this assay for research use only,1,cancelled,,,
public health result phl numberc11820 reported date cancelled sample routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs,1,cancelled,,,
please use existing sample collected this afternoon thank you tested by multiplex rt pcr,1,unknown,,,
until respiratory virus season has been declared samples for respiratory virus pcr will only be processed if discussed with and approved by a medical microbiologist jsh,1,cancelled,,,
covid 19 virus orf1a b gene not detected covid 19 virus n gene not detected covid 19 virus s gene not detected note this specimen was tested using the thermo fisher amplitudetm which has been validated at pho laboratory for clinical use detection of one gene target is sufficient for laboratory confirmation of covid 19 see the pho laboratory coronavirus disease 2019 pcr test information sheet for information on specimen collection kits evaluated on this assay covid 19 indiviual target result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold,1,negative,COVID,,
covid 19 virus not detected by real time pcr test result covid 19 virus orf1a b gene not detected covid 19 virus n gene not detected covid 19 virus s gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this specimen was tested using the thermo fisher amplitude tm which has been validated at pho laboratory for clinical use detection of one gene target is sufficient for laboratory confirmation of covid 19 see the pho laboratory coronavirus disease 2019 pcr test information sheet for information on specimen collection kits evaluated on this assay covid 19 individual target result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 phl report date test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza 1 by multiplex naat detected parainfluenza 2 by multiplex naat detected parainfluenza 3 by multiplex naat detected parainfluenza 4 by multiplex naat detected rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
reference laboratory has no record of receiving this specimen testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l,1,cancelled,,,
not performed viral transport media tube received with swab but no liquid inside not sufficient quantity for triplex testing please submit another sample,1,cancelled,,,
bordetella pertussis organism result detected,1,positive,pertussis,,
p1 text bordetella pertussis organism p1 text,1,unknown,pertussis,,
dr gunawardena unable to order verbal order tested by multiplex rt pcr,1,unknown,,,
tests for dna rna detection investigational only adenovirus dna detected by pcr parainfluenza virus 1 rna not detected by pcr parainfluenza virus 2 rna not detected by pcr parainfluenza virus 3 rna not detected by pcr parainfluenza virus 4 rna not detected by pcr human metapneumovirus rna not detected by pcr enterovirus rna not detected by pcr coronavirus oc43 rna not detected by pcr coronavirus 229e rna not detected by pcr coronavirus nl63 rna not detected by pcr rhinovirus rna not detected by pcr bocavirus dna not detected by pcr testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l,1,positive,Adenovirus,,
full viral panel tested by multiplex rt pcr,1,unknown,,,
please do all respiratory viral panel tested by multiplex rt pcr,1,unknown,,,
expired collection container used please recollect if clinically indicated called to nicole campbell by j vereecken,1,cancelled,,,
for biofire multiplex pcr at rh specifically please tested by multiplex rt pcr,1,unknown,,,
covid positive 10 days ago tested by multiplex rt pcr,1,unknown,,,
covid 19 virus n rdrp gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay this specimen was tested using the abbott realtime sars cov 2 real time pcr assay which has been validated at pho laboratory for clinical use the assay detects both the rdrp and n genes but is unable to differentiate between them the result is considered detected if one or both targets are detected detection of one gene target is sufficient for laboratory confirmation of covid 19 phl report date oct 14 2020 public health laboratory hamilton fennell ave west hamilton on l8n 3r5 respiratory virus culture cancelled note insufficient volume to perform testing resubmit another specimen and requisition phl report date oct 16 2020 public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,negative,COVID,,
due to laboratory error specimen not tested repeat specimen is suggested if clinically indicated testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l,1,cancelled,,,
test was ordered in error,1,cancelled,,,
test not performed specimen lost after receipt in laboratory specimen recollection required nursing unit notified,1,cancelled,,,
due to laboratory error specimen not tested,1,cancelled,,,
p1 text parainfluenza virus organism p1 text,1,unknown,HPIV1,,
biofire tested by multiplex rt pcr,1,unknown,,,
preop cholecystectomy tested by multiplex rt pcr,1,unknown,,,
duplicate sample refer to,1,cancelled,,,
covid 19 virus not detected by real time pcr test result covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory cornovirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay this assay is not verified for this specimen type results to be interpreted with caution phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
multiorgan failure tested by multiplex rt pcr,1,unknown,,,
specimen received in wrong transport media,1,cancelled,,,
biofire to mrhh please tested by multiplex rt pcr,1,unknown,,,
febrile seizure tested by multiplex rt pcr,1,unknown,,,
adding onto order from 12 23 as per dr yahyavi tested by multiplex rt pcr,1,unknown,,,
please send to mrh to run as biofire rather than substitution to rapid covid tested by multiplex rt pcr,1,unknown,,,
please send as bio fire tested by multiplex rt pcr,1,unknown,,,
public health result phl numberc07620 reported date cancelled sample routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs,1,cancelled,,,
dr asked for biofire as per rn sam tested by multiplex rt pcr,1,unknown,,,
chest pain tested by multiplex rt pcr,1,unknown,,,
test result covid 19 rna by rt pcr not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this specimen was tested using the abbott realtime sars cov 2 real time pcr assay which has been validated at pho laboratory for clinical use the assay detects both the rdrp and n genes but is unable to differentiate between them the result is considered detected if one or both targets are detected detection of one gene target is sufficient for laboratory confirmation of covid 19 phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,negative,COVID,,
please run the multiplex biofire swab tested by multiplex rt pcr,1,unknown,,,
adenovirus dna not detected by pcr human metapneumovirus rna not detected by pcr enterovirus rna not detected by pcr parainfluenza virus 1 rna not detected by pcr parainfluenza virus 2 rna not detected by pcr parainfluenza virus 3 rna not detected by pcr parainfluenza virus 4 rna not detected by pcr rhinovirus rna not detected by pcr coronavirus nl63 rna not detected by pcr coronavirus 229e rna not detected by pcr coronavirus oc43 rna not detected by pcr bocavirus dna not detected by pcr preliminary testing of covid 19 stability indicate this media is acceptable for respiratory virus testing however this media s performance characteristics have not been evaluated for all respiratory viruses by the eorla microbiology lab testing performed at children s hospital of eastern ontario 401 smyth rd ottawa on k1h 8l,1,negative,all,,
fever tested by multiplex rt pcr,1,unknown,,,
mislabelled specimen received resubmission of a properly labelled specimen from the correct patient requested by phone telephone report made to kaelyn alberts rn,1,cancelled,,,
covid 19 virus not detected by real time pcr test result covid 19 virus orf1a b gene not detected covid 19 virus n gene not detected covid 19 virus s gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this specimen was tested using the thermo fisher amplitude tm which has been validated at pho laboratory for clinical use detection of one gene target is sufficient for laboratory confirmation of covid 19 see the pho laboratory coronavirus disease 2019 pcr test information sheet for information on specimen collection kits evaluated on this assay covid 19 individual target result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 phl report date test result adenovirus by multiplex naat detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza 1 by multiplex detected naat parainfluenza 2 by multiplex detected naat parainfluenza 3 by multiplex detected naat parainfluenza 4 by multiplex detected naat rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
send additional biofire swab tested by multiplex rt pcr,1,unknown,,,
pls send prior np specimen already sent down for biofire to mrh tested by multiplex rt pcr,1,unknown,,,
use previous swab tested by multiplex rt pcr,1,unknown,,,
full biofire please tested by multiplex rt pcr,1,unknown,,,
leaking sample received test cancelled,1,cancelled,,,
please send for full biofire tested by multiplex rt pcr,1,unknown,,,
cough and fever tested by multiplex rt pcr,1,unknown,,,
covid 19 virus not detected by real time pcr test result covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay phl report date public health laboratory london commissioners road east london on n5z 4r,1,negative,COVID,,
critical result not communicated as patient has been discharged tested by multiplex rt pcr,1,unknown,,,
please add on to existing covid rsv swab tested by multiplex rt pcr,1,unknown,,,
full resp panel please tested by multiplex rt pcr,1,unknown,,,
please add on to rapid covid swab tested by multiplex rt pcr,1,unknown,,,
critical result was not communicated as patient has been discharged tested by multiplex rt pcr,1,unknown,,,
interpret results with caution sample was not processed stored within the recommended time period tested by multiplex rt pcr,1,unknown,,,
covid 19 virus not detected by real time pcr source nasopharyngeal collected site received covid 19 shl final covid 19 virus not detected by real time pcr this result should be interpreted based on the clinical context note shared hospital laboratory is licensed by the ontario ministry of health for covid 19 testing and uses a laboratory developed real time pcr test that detects covid 19 e and utr genes referred to shared hospital laboratory 2075 bayview avenue toronto ontario m4n 3m5 influenza a b and respiratory syncyfinal no specimen received at the shared hospital laboratory referred to shared hospital laboratory 2075 bayview avenue toronto ontario m4n 3m,1,negative,COVID,,
specifically biofire multiplex pcr sent to richmond hill asap please tested by multiplex rt pcr,1,unknown,,,
use existing specimen already confirmed with lab verbally by dr wang no need to send new swab thank you tested by multiplex rt pcr,1,unknown,,,
as per doctor s request tested by multiplex rt pcr,1,unknown,,,
please do biofire panel specifically tested by multiplex rt pcr,1,unknown,,,
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory cornovirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r5 test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza virus 1 2 3 4 by not detected multiplex naat rhinovirus by multiplex naat not detected rsv a b by multiplex naat not detected note this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,positive,COVID,,
please do full biofire tested by multiplex rt pcr,1,unknown,,,
biofire multiplex viral panel at mrhh please tested by multiplex rt pcr,1,unknown,,,
please run rapid and biofire swab for myocarditis tested by multiplex rt pcr,1,unknown,,,
cancelled specimen requisition and specimen received with incomplete missing patient identifiers specimen will not be tested submit another specimen and requisition with matching patient name and one other unique identifier e g hcn or mrn,1,cancelled,,,
please send as bio fire to richmond hill tested by multiplex rt pcr,1,unknown,,,
adenovirus detected by real time pcr please use droplet contact precautions for patient management rhinovirus detected by real time pcr please use droplet contact precautions for patient management,1,positive,entero_rhino,,
full respiratory biofire panel please tested by multiplex rt pcr,1,unknown,,,
test result covid 19 virus envelope gene indeterminate covid 19 virus pcr interpretation indeterminate for covid 19 virus note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 an indeterminate result may represent a low level of genetic material in this specimen please submit another specimen for testing copy of results sent to moh test result adenovirus by multiplex naat cancelled coronavirus oc43 229e nl63 hku1 cancelled by multiplex naat enterovirus by multiplex naat cancelled influenza a by multiplex naat cancelled influenza a h1n1 pdm09 by cancelled multiplex naat influenza ah3 by multiplex naat cancelled influenza b by multiplex naat cancelled human metapneumovirus by cancelled multiplex naat parainfluenza virus 1 2 3 4 cancelled by multiplex naat rhinovirus by multiplex naat cancelled rsv a b by multiplex naat cancelled note cancelled routine seasonal respiratory virus testing is not available for adult emergency er patients and ambulatory patients please refer to pho s respiratory viruses test information sheet at www publichealthontario ca labs phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,cancelled,COVID,,
for tee tomorrow am tested by multiplex rt pcr,1,unknown,,,
use existing sample thank you tested by multiplex rt pcr,1,unknown,,,
covid 19 virus not detected by real time pcr covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay phl report date jan 5 2021 public health laboratory hamilton fennell ave west hamilton on l8n 3r5 phl report date jan 5 2021 public health laboratory hamilton fennell ave west hamilton on l8n 3r,1,negative,COVID,,
covid 19 covid 19 virus detected by real time pcr pcr comment a copy of this report has been forwarded to the appropriate public health unit pcr comment please note this molecular assay has been validated at kingston health sciences centre for diagnostic use result given to leanne ipac rmhlal at on testing performed at kingston general hospital clinical laboratory services 76 stuart street kingston on k7l 2v,1,positive,COVID,,
for full np biofire panel this is for more than just covid i called the lab to ensure a full respiratory panel of viruses is tested tested by multiplex rt pcr,1,unknown,,,
not a new collection for lab to do add on respiratory panel to nov 12 sample please send labels to lab lab aware tested by multiplex rt pcr,1,unknown,,,
severe acute respiratory syndrome coronavirus 2 organism result detected,1,positive,COVID,,
results have not been received from reference lab please repeat if clinically indicated,1,unknown,,,
dka tested by multiplex rt pcr,1,unknown,,,
pls add on send from swab from overnight tested by multiplex rt pcr,1,unknown,,,
unexplained syncope with elevated wbcs tested by multiplex rt pcr,1,unknown,,,
prolonged fever tested by multiplex rt pcr,1,unknown,,,
please send as biofire only not rapid tested by multiplex rt pcr,1,unknown,,,
for biofire pls send to rh tested by multiplex rt pcr,1,unknown,,,
must pls get biofire re admitted to nicu must screen for viruses tested by multiplex rt pcr,1,unknown,,,
by lab duplicate order respiratory pcr panel performed on site please see for results,1,cancelled,,,
changed to biofire as per dr seymour axler do as stat tested by multiplex rt pcr,1,unknown,,,
padeatric patient tested by multiplex rt pcr,1,unknown,,,
add on previous sample please tested by multiplex rt pcr,1,unknown,,,
requested by ordering dr wang tested by multiplex rt pcr,1,unknown,,,
covid 19 virus not detected by real time pcr test result covid 19 virus orf1a b gene not detected covid 19 virus n gene not detected covid 19 virus s gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this specimen was tested using the thermo fisher amplitude tm which has been validated at pho laboratory for clinical use detection of one gene target is sufficient for laboratory confirmation of covid 19 see the pho laboratory coronavirus disease 2019 pcr test information sheet for information on specimen collection kits evaluated on this assay covid 19 individual target result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 phl report date test result adenovirus by multiplex naat not detected coronavirus oc43 229e nl63 hku1 not detected by multiplex naat enterovirus by multiplex naat not detected influenza a by multiplex naat not detected influenza a h1n1 pdm09 by not detected multiplex naat influenza ah3 by multiplex naat not detected influenza b by multiplex naat not detected human metapneumovirus by not detected multiplex naat parainfluenza 1 by multiplex naat detected parainfluenza 2 by multiplex naat detected parainfluenza 3 by multiplex naat detected parainfluenza 4 by multiplex naat detected rhinovirus by multiplex naat detected rsv a b by multiplex naat not detected note this specimen was tested using a laboratory test developed by public health ontario laboratory for the purpose of clinical testing results should be interpreted in the clinical context this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory phl report date public health laboratory toronto 661 university ave suite 1701 toronto on m5g 1m,1,negative,COVID,,
add on not a new collection send label to lab thanks tested by multiplex rt pcr,1,unknown,,,
please send to rh for full biofire tested by multiplex rt pcr,1,unknown,,,
can we add on to prior collected sample tested by multiplex rt pcr,1,unknown,,,
shift manager airo santos call lo have this ordered tested by multiplex rt pcr,1,unknown,,,
covid 19 virus detected by real time pcr test result covid 19 virus envelope gene detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note this assay has been validated at public health ontario laboratory and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada detection of one gene target is sufficient for laboratory confirmation of covid 19 virus see the pho laboratory coronavirus disease 2019 pcr test information sheet for info on specimen collection kits evaluated on this assay covid 19 result interpretation covid 19 detected cycle threshold 35 00 covid 19 detected at low level cycle threshold 00 covid 19 indeterminate cycle threshold 99 copy of results sent to moh phl report date public health laboratory hamilton fennell ave west hamilton on l8n 3r5 covid 19 virus orf1a b gene detected covid 19 virus n gene detected covid 19 virus s gene not detected covid 19 virus pcr interpretation covid 19 virus detected by real time pcr note see sars cov 2 voc s gene deletion screen by rt pcr result this specimen was tested using the thermo fisher amplitudetm which has been validated at pho laboratory for clinical use sars cov 2 voc s gene deletion screen detected by rt pcr interpretation result consistent with sars cov 2 s gene target failure due to a deletion at amino acid positions 69 70 note based on current epidemiology sars cov 2 s gene target failure sgtf is consistent with variant of concern voc lineages b 1 1 529 omicron or b 1 1 7 alpha or other lineages including variants of interest voi s possessing this deletion for further information see sars cov 2 variant of concern and genomic sequencing for surveillance test information sheet available at https www publichealthontario ca en laboratory services te st information index copy of result sent to moh phl report date public health laboratory london highbury ave 5th floor london on n6a 4h,1,positive,COVID,,
cancelled please see 20 v,1,cancelled,,,
cancelled sample routine respiratory virus testing is not available for ambulatory and non hospitalized emergency room er patients see scanned report in emr under microbiology scanned reports tab public health lab test s performed at public health laboratories 661 university avenue suite 1701 toronto on m5g 1m,1,cancelled,,,
cancelled sample routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients,1,cancelled,,,
cancelled sample routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs please have patient return if indicated sample to be sent to cheo,1,cancelled,,,
duplicate order see specimen 21 xm,1,cancelled,,,
multiplex naat respiratory virus panel not tested,1,cancelled,,,
negative 2 1 2023 a negative rapid rsv test should be confirmed by pcr if clinically indicated see vicultnps on the lab test information guide ltig,1,cancelled,,,
not tested,4,cancelled,,,
not tested cancelled by public health laboratory reason biosafety hazard specimen leaked in transit and was not tested please resubmit a new specimen if test required reporting site hamilton public health lab 250 fennell ave west hamilton ontario l8n 3r,1,cancelled,,,
not tested reason covid positive patient sample submitted for variant testing please re submit specimen if needed phoned to o 3s p400 macy g crn date at by faith rumbaoa,1,cancelled,,,
not tested reason inadequate patient identification when specimen labelled,1,cancelled,,,
not tested reason incorrect source ordered np swab in viral transport media received for respiratory viruses see for results added to call list by shirley kuzub date at,1,cancelled,,,
not tested reason incorrect test source viral detection other ordered on sample no sample received at phl np swab in viral transport media received for covid testing on on sample has been discarded added to call list by shirley kuzub date at,1,cancelled,,,
not tested reason incorrect test viral detection other ordered np swab in viral transport media received for respiratory viruses see for results added to call list by shirley kuzub date at,1,cancelled,,,
not tested reason insufficient specimen for testing test performed at public health laboratory toronto 661 university avenue suite 1701 toronto ontario m5g 1m,1,cancelled,,,
not tested reason no swab in vial received please resubmit a new specimen if test required reporting site hamilton public health lab 250 fennell ave west hamilton ontario l8n 3r5 phoned to broadcast date at by jenny sharratt,1,cancelled,,,
not tested specimen not tested as the patient was discharged from the emergency department this specimen will be held for 7 days ontario public health laboratory does not perform testing on ambulatory patients this will be your final report refer to halton healthcares respiratory virus testing criteria for more information,28,cancelled,,,
not tested specimen source and test requested np for resp virus reason for cancellation duplicate order see specimen has been cancelled recollect if required person notified of cancellation date at by faith rumbaoa,1,cancelled,,,
not tested test not performed by public health laboratory reason biosafety hazard specimen leaked in transit and was not tested please resubmit a new specimen if test required reporting site hamilton public health lab 250 fennell ave west hamilton ontario l8n 3r,1,cancelled,,,
not tested test not performed by public health laboratory reason no sample was received at the public health laboratory sample was lost in transit please resubmit a new specimen if test required reporting site test performed at public health laboratory toronto 661 university avenue suite 1701 toronto ontario m5g 1m1 added to call list by kuwin dahir date at,1,cancelled,,,
not tested test not performed in microbiology laboratory reason duplicate order see for results,1,cancelled,,,
not tested test not performed in microbiology laboratory reason insufficient sample available for sendout added to call list by shirley kuzub date at,1,cancelled,,,
not tested test not performed in microbiology laboratory reason insufficient volume for influenza rsv testing note this specimen was sent to public health ontario for mycoplasma pneumoniae testing please resubmit a new specimen if test required,1,cancelled,,,
not tested test not performed in microbiology laboratory reason reagent shortage added to call list by jenny sharratt date at note specimen referred out to the reference lab for multiplex naat respiratory virus detection,6,cancelled,,,
not tested test not performed in microbiology laboratory reason reagent shortage added to call list by missan ahmed date at note specimen referred out to the reference lab for multiplex naat respiratory virus detection,2,cancelled,,,
not tested test not performed in microbiology laboratory reason specimen not found in microbiology please resubmit a new specimen if test required phoned to jessica foo date at by shirley kuzub added to call list by shirley kuzub date at,1,cancelled,,,
not tested test not performed in microbiology laboratory reason specimen not received in microbiology please resubmit a new specimen if test required added to call list by shirley kuzub date at,1,cancelled,,,
not tested test not performed in microbiology laboratory reason specimen not received in microbiology please resubmit a new specimen if test required added to call list by shirley kuzub date at test performed at public health laboratory toronto 661 university avenue suite 1701 toronto ontario m5g 1m,1,cancelled,,,
not tested test not performed in microbiology laboratory reason specimen was not aliquoted for viral detection and was submitted for other tests please resubmit a new specimen if test required added to call list by shirley kuzub date at,1,cancelled,,,
not tested test not performed in microbiology laboratory reason specimen was not send out to pho added to call list by shirley kuzub date at test performed at public health laboratory toronto 661 university avenue suite 1701 toronto ontario m5g 1m,1,cancelled,,,
not tested test not performed in microbiology laboratory reason specimen was not sendout to pho added to call list by shirley kuzub date at test performed at public health laboratory toronto 661 university avenue suite 1701 toronto ontario m5g 1m,1,cancelled,,,
not tested test not performed in microbiology laboratory reason test kit lot needs to be evaluated added to call list by shirley kuzub date at note specimen referred out to the reference lab for multiplex naat respiratory virus detection,1,cancelled,,,
not tested viral detection other ordered as throat np swab in viral transport media received for respiratory viruses not validated for source throat see for results date at,1,cancelled,,,
note actual specimen source is throat confirmed by sasha goudzentchouk rn specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen will be held for 7 days this will be your final report added to call list by jihee kim date at,1,cancelled,,,
note not tested the sample received from your patient was not adequate for the following reason s reason incorrect media collection fluid tube used a repeat sample is required as soon as possible,1,cancelled,,,
order moved by lab to another specimen number please see specimen,1,cancelled,,,
phl sample test result viral studies cancelled note cancelled serology is not available for the viral agent rsv requested testing site timmins phl 67 wilson ave timmins on p4n 2s5 phone,3,cancelled,,,
referred out sent out to phl for viral testing,1,cancelled,,,
routine in house rsv testing at wohs is not available for patients greater than 5 years old,4,cancelled,,,
routine respiratory virus testing not available for adult emergency patients,1,cancelled,,,
sample not received by public health verbal confirmation,1,cancelled,,,
sent to phl for testing,3,cancelled,,,
sent to public health laboratory for covid 19 testing,1,cancelled,,,
specimen not received in utm media was processed as a covid please recollect,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department note referred out to the reference lab for respiratory virus detection,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department note specimen referred out for covid 19 on throat swab,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen not processed but will be held for 7 days added to call list by haytham elnur date at this will be your final report,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen will be held for 7 days this will be your final report,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen will be held for 7 days this will be your final report added to call list by haytham elnur date at,49,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen will be held for 7 days this will be your final report added to call list by jihee kim date at,4,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen will be held for 7 days this will be your final report added to call list by linda barakat date at,9,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen will be held for 7 days this will be your final report added to call list by missan ahmed date at,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen will be held for 7 days this will be your final report added to call list by shirley kuzub date at,23,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients specimen will be held for 7 days this will be your final report added to call list by zoey zhang date at,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients this will be your final report,239,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients this will be your final report added to call list by jenny sharratt date at,2,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients this will be your final report added to call list by missan ahmed date at,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients this will be your final report added to call list date at by jenny sharratt,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department testing for respiratory viruses is not performed on ambulatory patients this will be your final report phoned to sarah mcguillvray crn date at by jatin mahajan,1,cancelled,,,
specimen not tested as the patient was discharged from the emergency department this specimen will be held for 7 days ontario public health laboratory does not perform testing on ambulatory patients this will be your final report refer to halton healthcares respiratory virus testing criteria for more information,32,cancelled,,,
specimen not tested in house as the patient did not meet the following criteria specimens submitted from icu cou encounter admitted patients specimens submitted from paeds clinic encounter id ipcs paeds special requests outbreak investigations specimen will be held for 2 days then to ontario public health lab phl the phl respiratory viral testing algorithm can be found on the oahpp website http www publichealthontario ca labs,2,cancelled,,,
specimen rejected due to collection in wrong transport media,1,cancelled,,,
specimen source and test requested flu testing reason for cancellation duplicate order please see colected at date at by kuwin dahir,1,cancelled,,,
this specimen has been referred to the public health laboratory for virus detection,8,cancelled,,,
